Year,RaceNumber,RaceName,DriverNumber,Driver,Team,GridPosition,LapNumber,Compound,TyreLife,NumberPitStops_x,Tyres_change,TrackStatus,ResultStatus,QualyPosition,DriverStandings,PointsChampionship,Position,TimeLap,TimeDiffAhead,TimeDiffBehind,TimeDiffToLeader,TimePit,NumberPitStops_y,HasPitLap,DriverAhead,DriverBehind,DriverAheadPit,DriverBehindPit,GoodPitStop
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,49,SOFT,6,3,1,4,Finished,1,0,0,1,00:02:26.221000,0 days 00:00:00,0 days 00:00:00.736000,0 days 00:00:00,0,3,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,50,SOFT,7,3,1,4,Finished,1,0,0,1,00:02:24.429000,0 days 00:00:00,0 days 00:00:00.815000,0 days 00:00:00,0,3,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,51,SOFT,8,3,1,1,Finished,1,0,0,1,00:01:34.570000,0 days 00:00:00,0 days 00:00:01.685000,0 days 00:00:00,0,3,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,52,SOFT,9,3,1,1,Finished,1,0,0,1,00:01:35.027000,0 days 00:00:00,0 days 00:00:02.120000,0 days 00:00:00,0,3,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,53,SOFT,10,3,1,1,Finished,1,0,0,1,00:01:35.127000,0 days 00:00:00,0 days 00:00:02.920000,0 days 00:00:00,0,3,0,,VER,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,54,SOFT,11,3,1,1,Finished,1,0,0,1,00:01:35.429000,0 days 00:00:00,0 days 00:00:04.960000,0 days 00:00:00,0,3,0,,SAI,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,55,SOFT,12,3,1,1,Finished,1,0,0,1,00:01:35.427000,0 days 00:00:00,0 days 00:00:05.608000,0 days 00:00:00,0,3,0,,SAI,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,56,SOFT,13,3,1,1,Finished,1,0,0,1,00:01:35.673000,0 days 00:00:00,0 days 00:00:05.702000,0 days 00:00:00,0,3,0,,SAI,0,0,0
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1,57,SOFT,14,3,1,1,Finished,1,0,0,1,00:01:36.373000,0 days 00:00:00,0 days 00:00:05.598000,0 days 00:00:00,0,3,0,,SAI,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,1,SOFT,4,0,0,1,Finished,3,0,0,3,00:01:41.006000,0 days 00:00:00.770000,0 days 00:00:00.549000,0 days 00:00:01.936000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,2,SOFT,5,0,0,1,Finished,3,0,0,3,00:01:38.649000,0 days 00:00:01.539000,0 days 00:00:00.902000,0 days 00:00:02.732000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,3,SOFT,6,0,0,1,Finished,3,0,0,3,00:01:39.049000,0 days 00:00:02.231000,0 days 00:00:00.928000,0 days 00:00:03.509000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,4,SOFT,7,0,0,1,Finished,3,0,0,3,00:01:38.923000,0 days 00:00:02.588000,0 days 00:00:00.897000,0 days 00:00:04.018000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,5,SOFT,8,0,0,1,Finished,3,0,0,3,00:01:39.101000,0 days 00:00:02.812000,0 days 00:00:00.719000,0 days 00:00:04.648000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,6,SOFT,9,0,0,1,Finished,3,0,0,3,00:01:39.594000,0 days 00:00:03.466000,0 days 00:00:00.832000,0 days 00:00:05.530000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,7,SOFT,10,0,0,1,Finished,3,0,0,3,00:01:39.588000,0 days 00:00:03.992000,0 days 00:00:00.926000,0 days 00:00:06.283000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,8,SOFT,11,0,0,1,Finished,3,0,0,3,00:01:39.275000,0 days 00:00:04.175000,0 days 00:00:01.409000,0 days 00:00:06.607000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,9,SOFT,12,0,0,1,Finished,3,0,0,3,00:01:39.424000,0 days 00:00:04.348000,0 days 00:00:02.259000,0 days 00:00:07.224000,0,0,0,VER,HAM,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,10,SOFT,13,0,0,1,Finished,3,0,0,3,00:01:39.682000,0 days 00:00:04.638000,0 days 00:00:03.197000,0 days 00:00:07.783000,0,0,0,VER,PER,0,0,0
